BANDEIRA    |   Autenticação    |   Número Cartão   |   Validade    |   Cod. Segurança
VISA        |       OK          |  4012001037141112 |    05/2018    |       123
MASTER      |       OK          |  5453010000066167 |    05/2018    |       123
VISA        |       NO          |  4012001038443335 |    05/2018    |       123
MASTER      |       NO          |  5453010000066167 |    05/2018    |       123
AMERICAN EXP|       NO          |  376449047333005  |    05/2018    |       1234
ELO         |       NO          |  6362970000457013 |    05/2018    |       123
DINNERS     |       NO          |  36490102462661   |    05/2018    |       123
DISCOVER    |       NO          |  6011020000245045 |    05/2018    |       123
JCB         |       NO          |  3566007770004971 |    05/2018    |       123
AURA        |       NO          |5078601912345600019|    05/2018    |       123
